x y z u v depth
0.672524 -0.795439 1.240030 87.583090 43.884721 -0.734185
0.640847 -0.777091 1.328011 88.967301 49.203791 -0.759777
0.613884 -0.824292 0.845712 69.612681 27.364482 -0.672986
0.671212 -0.821779 0.828945 71.385706 24.105380 -0.674019
0.676981 -0.782222 1.142944 83.606253 39.892509 -0.739339
0.644925 -0.762558 1.270802 86.527269 46.972945 -0.769534
0.603544 -0.800214 0.883275 70.483828 30.738331 -0.700097
0.662292 -0.803099 0.828879 70.733941 25.496141 -0.692644
0.668253 -0.762520 1.147332 82.856870 40.981338 -0.759350
0.639874 -0.742370 1.291554 86.441272 48.351348 -0.791373
0.664092 -0.791699 0.779942 68.598153 23.700936 -0.699965
0.667047 -0.749012 1.120099 81.430093 40.268476 -0.770567
0.643859 -0.731023 1.244274 84.567655 46.549664 -0.798775
0.660216 -0.776271 0.787380 68.593571 25.019513 -0.715960
0.664664 -0.734653 1.111682 80.669171 40.407125 -0.784186
0.644129 -0.716524 1.232364 83.752032 46.348040 -0.812241
0.656665 -0.758764 0.812127 69.281342 27.139533 -0.735454
0.663499 -0.721065 1.098408 79.822316 40.281516 -0.796634
0.643707 -0.701131 1.230194 83.250527 46.562220 -0.827403
0.654794 -0.740537 0.824570 69.509798 28.581703 -0.754648
0.663417 -0.702814 1.099110 79.436192 40.785092 -0.814881
0.646316 -0.683788 1.224796 82.716439 46.574992 -0.844238
0.655134 -0.723656 0.834250 69.720716 29.694573 -0.772270
0.663583 -0.684005 1.110388 79.429500 41.671802 -0.834556
0.664492 -0.714020 0.790449 68.313049 27.890108 -0.778245
0.672480 -0.670297 1.081874 78.484142 40.609310 -0.845851
0.658940 -0.653205 1.184787 81.099136 45.227328 -0.871396
0.671570 -0.702670 0.765393 67.538769 27.059796 -0.787478
0.683381 -0.662417 1.022948 76.706533 38.215738 -0.848826
0.667662 -0.642245 1.144257 79.831107 43.686747 -0.878962
0.672583 -0.686860 0.776879 67.884318 28.164514 -0.804180
0.686808 -0.647609 1.018481 76.415776 38.328655 -0.863209
0.670943 -0.625083 1.149206 79.750415 44.089194 -0.896468
0.677663 -0.677426 0.746682 66.890259 27.143989 -0.811083
0.688253 -0.629691 1.030453 76.557948 39.180368 -0.882052
0.673638 -0.609298 1.145594 79.410730 44.175680 -0.911897
0.679809 -0.661561 0.749988 66.984826 27.852975 -0.827163
0.691608 -0.614392 1.023737 76.197040 39.208454 -0.896739
0.676076 -0.591916 1.152163 79.359724 44.640649 -0.929758
0.681816 -0.645909 0.764247 67.459233 28.955612 -0.843935
0.698509 -0.604954 0.993634 75.304459 38.150642 -0.903651
0.681996 -0.579998 1.131942 78.703166 43.989047 -0.939958
0.687069 -0.637358 0.734731 66.550212 27.961724 -0.850014
0.702843 -0.593385 0.974104 74.649635 37.620347 -0.913563
0.688736 -0.567588 1.110366 78.036743 43.289907 -0.950536
0.698699 -0.642362 0.630234 63.264497 23.253996 -0.836388
0.713625 -0.592110 0.891608 72.333767 34.394982 -0.908010
0.698464 -0.561717 1.044663 76.243263 40.919806 -0.950951
